Constituency,County,URL
Suba North,Homa Bay,https://forms.iebc.or.ke/form/formB/0432510000000/uploaded/1_0432510000000_34_B_20220813_230401.pdf
Suba South,Homa Bay,https://forms.iebc.or.ke/form/formB/0432520000000/uploaded/1_0432520000000_34_B_20220811_134800.pdf
Isiolo North,Isiolo,https://forms.iebc.or.ke/form/formB/0110490000000/uploaded/1_0110490000000_34_B_20220812_100745.pdf
Isiolo South,Isiolo,https://forms.iebc.or.ke/form/formB/0110500000000/uploaded/1_0110500000000_34_B_20220811_202021.pdf
Kajiado Central,Kajiado,https://forms.iebc.or.ke/form/formB/0341840000000/uploaded/1_0341840000000_34_B_20220811_103933.pdf
Kajiado East,Kajiado,https://forms.iebc.or.ke/form/formB/0341850000000/uploaded/1_0341850000000_34_B_20220814_191226.pdf
Kajiado North,Kajiado,https://forms.iebc.or.ke/form/formB/0341830000000/uploaded/1_0341830000000_34_B_20220812_115541.pdf
Kajiado South,Kajiado,https://forms.iebc.or.ke/form/formB/0341870000000/uploaded/1_0341870000000_34_B_20220811_073945.pdf
Kajiado West,Kajiado,https://forms.iebc.or.ke/form/formB/0341860000000/uploaded/1_0341860000000_34_B_20220813_192620.pdf
Butere,Kakamega,https://forms.iebc.or.ke/form/formB/0372070000000/uploaded/1_0372070000000_34_B_20220811_094849.pdf
Ikolomani,Kakamega,https://forms.iebc.or.ke/form/formB/0372100000000/uploaded/1_0372100000000_34_B_20220811_172353.pdf
Khwisero,Kakamega,https://forms.iebc.or.ke/form/formB/0372080000000/uploaded/1_0372080000000_34_B_20220810_220849.pdf
Likuyani,Kakamega,https://forms.iebc.or.ke/form/formB/0372000000000/uploaded/1_0372000000000_34_B_20220812_103423.pdf
Lugari,Kakamega,https://forms.iebc.or.ke/form/formB/0371990000000/uploaded/1_0371990000000_34_B_20220812_094200.pdf
Lurambi,Kakamega,https://forms.iebc.or.ke/form/formB/0372020000000/uploaded/1_0372020000000_34_B_20220811_173149.pdf
Malava,Kakamega,https://forms.iebc.or.ke/form/formB/0372010000000/uploaded/1_0372010000000_34_B_20220812_184500.pdf
Matungu,Kakamega,https://forms.iebc.or.ke/form/formB/0372060000000/uploaded/1_0372060000000_34_B_20220811_093228.pdf
Mumias East,Kakamega,https://forms.iebc.or.ke/form/formB/0372050000000/uploaded/1_0372050000000_34_B_20220812_160204.pdf
Mumias West,Kakamega,https://forms.iebc.or.ke/form/formB/0372040000000/uploaded/1_0372040000000_34_B_20220811_135843.pdf
Navakholo,Kakamega,https://forms.iebc.or.ke/form/formB/0372030000000/uploaded/1_0372030000000_34_B_20220811_071353.pdf
Shinyalu,Kakamega,https://forms.iebc.or.ke/form/formB/0372090000000/uploaded/1_0372090000000_34_B_20220812_103922.pdf
Ainamoi,Kericho,https://forms.iebc.or.ke/form/formB/0351900000000/uploaded/1_0351900000000_34_B_20220812_190523.pdf
Belgut,Kericho,https://forms.iebc.or.ke/form/formB/0351920000000/uploaded/1_0351920000000_34_B_20220811_134009.pdf
Bureti,Kericho,https://forms.iebc.or.ke/form/formB/0351910000000/uploaded/1_0351910000000_34_B_20220812_160239.pdf
Kipkelion East,Kericho,https://forms.iebc.or.ke/form/formB/0351880000000/uploaded/1_0351880000000_34_B_20220811_103358.pdf
Kipkelion West,Kericho,https://forms.iebc.or.ke/form/formB/0351890000000/uploaded/1_0351890000000_34_B_20220811_191217.pdf
Sigowet/Soin,Kericho,https://forms.iebc.or.ke/form/formB/0351930000000/uploaded/1_0351930000000_34_B_20220811_154004.pdf
Gatundu North,Kiambu,https://forms.iebc.or.ke/form/formB/0221120000000/uploaded/1_0221120000000_34_B_20220811_232123.pdf
Gatundu South,Kiambu,https://forms.iebc.or.ke/form/formB/0221110000000/uploaded/1_0221110000000_34_B_20220811_102636.pdf
Githunguri,Kiambu,https://forms.iebc.or.ke/form/formB/0221160000000/uploaded/1_0221160000000_34_B_20220811_174654.pdf
Juja,Kiambu,https://forms.iebc.or.ke/form/formB/0221130000000/uploaded/1_0221130000000_34_B_20220812_145542.pdf
Kabete,Kiambu,https://forms.iebc.or.ke/form/formB/0221190000000/uploaded/1_0221190000000_34_B_20220813_113121.pdf
Kiambaa,Kiambu,https://forms.iebc.or.ke/form/formB/0221180000000/uploaded/1_0221180000000_34_B_20220812_050255.pdf
Kiambu,Kiambu,https://forms.iebc.or.ke/form/formB/0221170000000/uploaded/1_0221170000000_34_B_20220815_093958.pdf
Kikuyu,Kiambu,https://forms.iebc.or.ke/form/formB/0221200000000/uploaded/1_0221200000000_34_B_20220812_125029.pdf
Lari,Kiambu,https://forms.iebc.or.ke/form/formB/0221220000000/uploaded/1_0221220000000_34_B_20220812_000617.pdf
Limuru,Kiambu,https://forms.iebc.or.ke/form/formB/0221210000000/uploaded/1_0221210000000_34_B_20220812_003728.pdf
Ruiru,Kiambu,https://forms.iebc.or.ke/form/formB/0221150000000/uploaded/1_0221150000000_34_B_20220812_112108.pdf
Thika Town,Kiambu,https://forms.iebc.or.ke/form/formB/0221140000000/uploaded/1_0221140000000_34_B_20220812_115949.pdf
Ganze,Kilifi,https://forms.iebc.or.ke/form/formB/0030150000000/uploaded/1_0030150000000_34_B_20220813_082036.pdf
Kaloleni,Kilifi,https://forms.iebc.or.ke/form/formB/0030130000000/uploaded/1_0030130000000_34_B_20220813_130933.pdf
